Time (s):,Density,Center Radius,Ring Count,Ring Width,Collision Dist,Radius
0.9373,0.2028,3.6240,4,2.1025,2.1762,100
0.9272,0.2258,2.9143,5,1.3718,2.0591,125
0.8321,0.2056,12.4533,4,2.2631,1.6384,100
0.8782,0.2008,6.1757,5,1.5061,2.0940,125
3.2901,0.2430,6.5155,5,2.8432,1.8324,125
1.1966,0.2148,18.7206,5,2.0278,2.1860,125
0.8829,0.2195,14.3285,5,1.4784,2.1975,125
1.3739,0.2208,1.5863,4,2.7892,1.5561,100
1.0751,0.2253,21.8905,5,1.8800,1.6583,125
0.5587,0.2135,13.3690,4,1.4500,2.0235,100
1.6144,0.2413,3.3720,4,2.8804,1.9398,100
1.4411,0.2388,4.2329,4,2.7214,1.8410,100
1.0725,0.2361,12.2155,4,2.5357,2.0959,100
0.8750,0.2355,5.2417,5,1.2517,1.5533,125
0.8262,0.2257,3.1411,4,1.8622,2.2050,100
2.3387,0.2463,16.4645,5,2.5551,2.1265,125
1.6109,0.2118,15.8127,5,2.3499,1.9072,125
2.1205,0.2474,14.3412,5,2.3836,1.8594,125
1.4575,0.2469,7.1920,4,2.7056,1.5169,100
0.8603,0.2049,9.2243,4,2.2606,1.5111,100
1.6253,0.2404,12.7868,5,2.0665,1.9556,125
1.6349,0.2023,16.6591,5,2.4942,1.5462,125
1.7397,0.2210,15.5362,5,2.3729,1.9333,125
0.7764,0.2299,11.4596,4,1.9136,2.1418,100
0.8952,0.2050,5.2195,5,1.5102,2.1105,125
1.0979,0.2093,8.9386,4,2.8101,2.0722,100
1.0204,0.2495,17.6229,4,2.4320,1.9733,100
0.6683,0.2333,3.5180,4,1.4556,1.7015,100
0.9730,0.2467,23.6914,4,2.3948,2.2116,100
2.7741,0.2327,2.2244,5,2.6105,1.8997,125
1.0276,0.2377,6.0499,4,2.2669,1.7299,100
1.4788,0.2333,2.9948,4,2.7869,1.9706,100
0.5229,0.2248,24.4252,4,1.4360,2.1737,100
0.6151,0.2023,24.6048,4,1.9588,1.8514,100
0.7572,0.2450,19.5416,4,1.9193,2.2350,100
0.9892,0.2274,18.0546,4,2.6430,2.0216,100
1.4800,0.2042,3.9974,5,2.1339,1.9558,125
1.4966,0.2060,13.5925,5,2.2914,1.6953,125
0.7223,0.2077,22.4926,4,2.1648,1.9233,100
1.3015,0.2461,12.5862,5,1.7789,1.8367,125
2.4145,0.2430,20.4394,5,2.7236,1.9872,125
0.5940,0.2179,23.4927,4,1.6174,1.6970,100
1.4340,0.2004,20.5976,5,2.4552,1.5798,125
1.3570,0.2009,3.2723,5,2.0562,2.1886,125
1.0981,0.2306,1.8306,4,2.3507,2.0032,100
1.1186,0.2277,22.2754,5,1.9193,1.5370,125
1.2347,0.2364,9.6846,4,2.6504,1.8190,100
0.8862,0.2205,11.8223,5,1.4639,1.5859,125
0.5531,0.2186,22.5890,4,1.5773,1.6376,100
1.1599,0.2499,3.9725,4,2.2923,1.9689,100

